Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Wil Essentials Foot Reflexology & Body Massage,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm
Wink Wax Wellness,11:30am-7pm,,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm
Xiaoxi Deep Tissue Massage Centre,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm
Xin Hao Foot Reflexology & Massage,10am-6pm,10am-6pm,,,,,
Xpress Foot Wellness @ Sengkang Mrt Station  Foot Reflexology  Massage,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm
Xpress Foot Wellness Punggol  Foot Reflexology,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm
Xpress Massage 脚底按摩 @ Sengkang Rivervale Plaza,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm,10:30am-9:30pm
Yue Yuan Beauty Spa,,,,,,,
ZU LE YUAN HEALTHCARE MASSAGE,9:50am-10:30pm,9:50am-10:30pm,9:50am-10:30pm,9:50am-10:30pm,9:50am-10:30pm,9:50am-10:30pm,9:50am-10:30pm
水玲珑 SPELLSPA,10am-6am,10am-6am,10am-6am,10am-6am,10am-6am,10am-6am,10am-6am
